Date,Holiday_Name
2000-01-01,New Year's Day
2000-01-03,New Year's Day (observed)
2000-04-21,Good Friday
2000-05-01,May Day
2000-05-29,Spring Bank Holiday
2000-12-25,Christmas Day
2000-12-26,Boxing Day
2001-01-01,New Year's Day
2001-04-13,Good Friday
2001-05-07,May Day
2001-05-28,Spring Bank Holiday
2001-12-25,Christmas Day
2001-12-26,Boxing Day
2002-01-01,New Year's Day
2002-03-29,Good Friday
2002-05-06,May Day
2002-06-03,Golden Jubilee of Elizabeth II
2002-06-04,Spring Bank Holiday
2002-12-25,Christmas Day
2002-12-26,Boxing Day
2003-01-01,New Year's Day
2003-04-18,Good Friday
2003-05-05,May Day
2003-05-26,Spring Bank Holiday
2003-12-25,Christmas Day
2003-12-26,Boxing Day
2004-01-01,New Year's Day
2004-04-09,Good Friday
2004-05-03,May Day
2004-05-31,Spring Bank Holiday
2004-12-25,Christmas Day
2004-12-26,Boxing Day
2004-12-27,Christmas Day (observed)
2004-12-28,Boxing Day (observed)
2005-01-01,New Year's Day
2005-01-03,New Year's Day (observed)
2005-03-25,Good Friday
2005-05-02,May Day
2005-05-30,Spring Bank Holiday
2005-12-25,Christmas Day
2005-12-26,Boxing Day
2005-12-27,Christmas Day (observed)
2006-01-01,New Year's Day
2006-01-02,New Year's Day (observed)
2006-04-14,Good Friday
2006-05-01,May Day
2006-05-29,Spring Bank Holiday
2006-12-25,Christmas Day
2006-12-26,Boxing Day
2007-01-01,New Year's Day
2007-04-06,Good Friday
2007-05-07,May Day
2007-05-28,Spring Bank Holiday
2007-12-25,Christmas Day
2007-12-26,Boxing Day
2008-01-01,New Year's Day
2008-03-21,Good Friday
2008-05-05,May Day
2008-05-26,Spring Bank Holiday
2008-12-25,Christmas Day
2008-12-26,Boxing Day
2009-01-01,New Year's Day
2009-04-10,Good Friday
2009-05-04,May Day
2009-05-25,Spring Bank Holiday
2009-12-25,Christmas Day
2009-12-26,Boxing Day
2009-12-28,Boxing Day (observed)
2010-01-01,New Year's Day
2010-04-02,Good Friday
2010-05-03,May Day
2010-05-31,Spring Bank Holiday
2010-12-25,Christmas Day
2010-12-26,Boxing Day
2010-12-27,Christmas Day (observed)
2010-12-28,Boxing Day (observed)
2011-01-01,New Year's Day
2011-01-03,New Year's Day (observed)
2011-04-22,Good Friday
2011-04-29,Wedding of William and Catherine
2011-05-02,May Day
2011-05-30,Spring Bank Holiday
2011-12-25,Christmas Day
2011-12-26,Boxing Day
2011-12-27,Christmas Day (observed)
2012-01-01,New Year's Day
2012-01-02,New Year's Day (observed)
2012-04-06,Good Friday
2012-05-07,May Day
2012-06-04,Spring Bank Holiday
2012-06-05,Diamond Jubilee of Elizabeth II
2012-12-25,Christmas Day
2012-12-26,Boxing Day
2013-01-01,New Year's Day
2013-03-29,Good Friday
2013-05-06,May Day
2013-05-27,Spring Bank Holiday
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2014-01-01,New Year's Day
2014-04-18,Good Friday
2014-05-05,May Day
2014-05-26,Spring Bank Holiday
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2015-01-01,New Year's Day
2015-04-03,Good Friday
2015-05-04,May Day
2015-05-25,Spring Bank Holiday
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-12-28,Boxing Day (observed)
2016-01-01,New Year's Day
2016-03-25,Good Friday
2016-05-02,May Day
2016-05-30,Spring Bank Holiday
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-12-27,Christmas Day (observed)
2017-01-01,New Year's Day
2017-01-02,New Year's Day (observed)
2017-04-14,Good Friday
2017-05-01,May Day
2017-05-29,Spring Bank Holiday
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2018-01-01,New Year's Day
2018-03-30,Good Friday
2018-05-07,May Day
2018-05-28,Spring Bank Holiday
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2019-01-01,New Year's Day
2019-04-19,Good Friday
2019-05-06,May Day
2019-05-27,Spring Bank Holiday
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2020-01-01,New Year's Day
2020-04-10,Good Friday
2020-05-08,May Day
2020-05-25,Spring Bank Holiday
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-12-28,Boxing Day (observed)
